sample;annotation
луфамо;[(0, 6, 'O')]
римара саоз;[(0, 6, 'O'), (7, 11, 'O')]
булочки бедор по шшалыка;[(0, 7, 'B-TYPE'), (8, 13, 'I-TYPE'), (14, 16, 'O'), (17, 24, 'O')]
солю по банке всей;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 13, 'O'), (14, 18, 'O')]
кофазо рааето;[(0, 6, 'O'), (7, 13, 'O')]
уголь;[(0, 5, 'B-TYPE')]
вода без банче пакетах;[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 14, 'O'), (15, 22, 'O')]
ненеа коне;[(0, 5, 'O'), (6, 10, 'O')]
угобь по осбаки;[(0, 5, 'B-TYPE'), (6, 8, 'O'), (9, 15, 'O')]
хцопья из солью;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 15, 'O')]
чай для пакетах;[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 15, 'O')]
немоли;[(0, 6, 'O')]
шанеар вине;[(0, 6, 'O'), (7, 11, 'O')]
пюре аме с отзубями;[(0, 4, 'B-TYPE'), (5, 8, 'I-TYPE'), (9, 10, 'O'), (11, 19, 'O')]
сосискю в вкусом;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 16, 'O')]
года;[(0, 4, 'B-TYPE')]
соль по изюмом солью;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 14, 'O'), (15, 20, 'O')]
пюре фермерский для аджике;[(0, 4, 'B-TYPE'), (5, 15, 'I-TYPE'), (16, 19, 'O'), (20, 26, 'O')]
макароны спагтети в тееб тебе;[(0, 8, 'B-TYPE'), (9, 17, 'I-TYPE'), (18, 19, 'O'), (20, 24, 'O'), (25, 29, 'O')]
пре в всей;[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 10, 'O')]
соль по солью;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 13, 'O')]
сосиски;[(0, 7, 'B-TYPE')]
риоклу дуам шаду;[(0, 6, 'O'), (7, 11, 'O'), (12, 16, 'O')]
салаты столовый в семье перцем;[(0, 6, 'B-TYPE'), (7, 15, 'I-TYPE'), (16, 17, 'O'), (18, 23, 'O'), (24, 30, 'O')]
жидкосьт в изюмом;[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 17, 'O')]
